"Protein Groups Protein Group ID"	"Checked"	"Tags"	"# Proteins"	"# Unique Peptides"	"# Peptides"	"# PSMs"	"Group Description"	"Found in File: [F1]"	"Found in File: [F2]"	"Found in File: [F3]"	"Found in File: [F4]"	"Found in File: [F5]"	"Found in File: [F6]"	"Found in File: [F7]"	"Found in File: [F8]"	"Found in File: [F9]"	"Found in File: [F10]"	"Found in Sample: [S1] F1: Sample, Healthy, HC13, 1"	"Found in Sample: [S2] F2: Sample, Healthy, HC14, 2"	"Found in Sample: [S3] F3: Sample, Healthy, HC20, 3"	"Found in Sample: [S4] F4: Sample, Healthy, HC22, 4"	"Found in Sample: [S5] F5: Sample, Healthy, HC25, 5"	"Found in Sample: [S6] F6: Sample, MECFS, M1, 1"	"Found in Sample: [S7] F7: Sample, MECFS, M10, 2"	"Found in Sample: [S8] F8: Sample, MECFS, M11, 3"	"Found in Sample: [S9] F9: Sample, MECFS, M12, 4"	"Found in Sample: [S10] F10: Sample, MECFS, M15, 5"	"Found in Sample Group: Healthy"	"Found in Sample Group: MECFS"
"141"	"False"	""	"1"	"3"	"3"	"7"	"[Master Protein] Serum amyloid A-4 protein OS=Homo sapiens OX=9606 GN=SAA4 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"
"142"	"False"	""	"1"	"1"	"1"	"1"	"[Master Protein] Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"
"143"	"False"	""	"1"	"2"	"2"	"5"	"[Master Protein] Adiponectin OS=Homo sapiens OX=9606 GN=ADIPOQ PE=1 SV=1"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"Not Found"	"Peak Found"	"High"	"High"
"144"	"False"	""	"1"	"21"	"21"	"107"	"[Master Protein] Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"145"	"False"	""	"1"	"18"	"18"	"175"	"[Master Protein] Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"146"	"False"	""	"1"	"7"	"7"	"166"	"[Master Protein] Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"147"	"False"	""	"1"	"17"	"17"	"764"	"[Master Protein] Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"148"	"False"	""	"1"	"5"	"5"	"542"	"[Master Protein] Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"149"	"False"	""	"1"	"4"	"4"	"42"	"[Master Protein] Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"150"	"False"	""	"1"	"1"	"1"	"2"	"[Master Protein] Integrin alpha-9 OS=Homo sapiens OX=9606 GN=ITGA9 PE=1 SV=2"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"
"151"	"False"	""	"1"	"22"	"22"	"1870"	"[Master Protein] Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"152"	"False"	""	"1"	"2"	"2"	"11"	"[Master Protein] Immunoglobulin lambda variable 3-19 OS=Homo sapiens OX=9606 GN=IGLV3-19 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"
"153"	"False"	""	"1"	"12"	"12"	"104"	"[Master Protein] Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"154"	"False"	""	"1"	"12"	"12"	"178"	"[Master Protein] Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"155"	"False"	""	"1"	"7"	"7"	"79"	"[Master Protein] Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"156"	"False"	""	"1"	"1"	"1"	"92"	"[Master Protein] Complement factor H-related protein 1 OS=Homo sapiens OX=9606 GN=CFHR1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"157"	"False"	""	"1"	"19"	"19"	"1342"	"[Master Protein] Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"158"	"False"	""	"1"	"9"	"9"	"174"	"[Master Protein] Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"159"	"False"	""	"1"	"3"	"3"	"77"	"[Master Protein] Complement C1q subcomponent subunit A OS=Homo sapiens OX=9606 GN=C1QA PE=1 SV=2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"160"	"False"	""	"1"	"1"	"1"	"3"	"[Master Protein] Immunoglobulin lambda variable 1-40 OS=Homo sapiens OX=9606 GN=IGLV1-40 PE=1 SV=2"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"
"161"	"False"	""	"1"	"5"	"5"	"65"	"[Master Protein] CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"162"	"False"	""	"1"	"2"	"2"	"13"	"[Master Protein] Tyrosine-protein phosphatase non-receptor type 3 OS=Homo sapiens OX=9606 GN=PTPN3 PE=1 SV=2"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"
"163"	"False"	""	"1"	"9"	"9"	"28"	"[Master Protein] Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"164"	"False"	""	"1"	"13"	"13"	"831"	"[Master Protein] Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"165"	"False"	""	"1"	"7"	"7"	"34"	"[Master Protein] Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"
"166"	"False"	""	"1"	"2"	"2"	"40"	"[Master Protein] Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"
"167"	"False"	""	"1"	"1"	"1"	"1"	"[Master Protein] Splicing regulator ARVCF OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"
"168"	"False"	""	"1"	"7"	"7"	"25"	"[Master Protein] Apolipoprotein(a) OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=2"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"
