"Pathway Protein Groups Group ID"	"Checked"	"Tags"	"Pathway Accession"	"Pathway Level"	"Pathway Description"	"Pathway Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"370"	"False"	""	"R-HSA-166016"	"IntermediateAnnotation"	"Toll Like Receptor 4 (TLR4) Cascade"	"ReactomePathway"	"1"	"1"	"12"	"8"
"371"	"False"	""	"R-HSA-166166"	"IntermediateAnnotation"	"MyD88-independent TLR4 cascade"	"ReactomePathway"	"1"	"1"	"4"	"25"
"372"	"False"	""	"R-HSA-2562578"	"LeafAnnotation"	"TRIF-mediated programmed cell death"	"ReactomePathway"	"1"	"1"	"7"	"14"
"373"	"False"	""	"R-HSA-936964"	"LeafAnnotation"	"Activation of IRF3, IRF7 mediated by TBK1, IKKe (IKBKE)"	"ReactomePathway"	"1"	"1"	"10"	"10"
"374"	"False"	""	"R-HSA-937041"	"LeafAnnotation"	"IKK complex recruitment mediated by RIP1"	"ReactomePathway"	"1"	"1"	"15"	"7"
"375"	"False"	""	"R-HSA-937072"	"LeafAnnotation"	"TRAF6-mediated induction of TAK1 complex within TLR4 complex"	"ReactomePathway"	"1"	"1"	"13"	"8"
"376"	"False"	""	"R-HSA-975163"	"LeafAnnotation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"ReactomePathway"	"1"	"1"	"13"	"8"
"377"	"False"	""	"R-HSA-9824878"	"IntermediateAnnotation"	"Regulation of TBK1, IKKe (IKBKE)-mediated activation of IRF3, IRF7"	"ReactomePathway"	"1"	"1"	"10"	"10"
"378"	"False"	""	"R-HSA-168179"	"IntermediateAnnotation"	"Toll Like Receptor TLR1:TLR2 Cascade"	"ReactomePathway"	"1"	"1"	"3"	"33"
"379"	"False"	""	"R-HSA-168188"	"IntermediateAnnotation"	"Toll Like Receptor TLR6:TLR2 Cascade"	"ReactomePathway"	"1"	"1"	"4"	"25"
"380"	"False"	""	"R-HSA-166020"	"LeafAnnotation"	"Transfer of LPS from LBP carrier to CD14"	"ReactomePathway"	"1"	"1"	"1"	"100"
"381"	"False"	""	"R-HSA-8964011"	"LeafAnnotation"	"HDL clearance"	"ReactomePathway"	"1"	"1"	"4"	"25"
"382"	"False"	""	"R-HSA-5682113"	"LeafAnnotation"	"Defective ABCA1 causes TGD"	"ReactomePathway"	"1"	"1"	"2"	"50"
"383"	"False"	""	"R-HSA-1369062"	"LeafAnnotation"	"ABC transporters in lipid homeostasis"	"ReactomePathway"	"1"	"1"	"12"	"8"
"384"	"False"	""	"WP2879"	"LeafAnnotation"	"Farnesoid X receptor pathway"	"WikiPathway"	"1"	"1"	"7"	"14"
"385"	"False"	""	"WP299"	"LeafAnnotation"	"Nuclear receptors in lipid metabolism and toxicity"	"WikiPathway"	"1"	"1"	"14"	"7"
"386"	"False"	""	"WP5176"	"LeafAnnotation"	"Disorders of bile acid synthesis and biliary transport"	"WikiPathway"	"1"	"1"	"8"	"12"
"387"	"False"	""	"R-HSA-382556"	"IntermediateAnnotation"	"ABC-family proteins mediated transport"	"ReactomePathway"	"1"	"1"	"23"	"4"
"388"	"False"	""	"R-HSA-5678771"	"LeafAnnotation"	"Defective ABCB4 causes PFIC3, ICP3 and GBD1"	"ReactomePathway"	"1"	"1"	"1"	"100"
"389"	"False"	""	"WP2059"	"LeafAnnotation"	"Alzheimer's disease and miRNA effects"	"WikiPathway"	"1"	"1"	"149"	"1"
"390"	"False"	""	"WP2864"	"LeafAnnotation"	"Apoptosis-related network due to altered Notch3 in ovarian cancer"	"WikiPathway"	"1"	"1"	"31"	"3"
"391"	"False"	""	"WP3926"	"LeafAnnotation"	"ApoE and miR-146 in inflammation and atherosclerosis"	"WikiPathway"	"1"	"1"	"5"	"20"
"392"	"False"	""	"WP5124"	"LeafAnnotation"	"Alzheimer's disease"	"WikiPathway"	"1"	"1"	"149"	"1"
"393"	"False"	""	"WP5426"	"LeafAnnotation"	"HDAC6 interactions in the central nervous system"	"WikiPathway"	"2"	"2"	"57"	"4"
"394"	"False"	""	"WP5470"	"LeafAnnotation"	"Effect of omega-3 PUFA on Huntington's disease pathways"	"WikiPathway"	"2"	"2"	"69"	"3"
"395"	"False"	""	"R-HSA-1251985"	"LeafAnnotation"	"Nuclear signaling by ERBB4"	"ReactomePathway"	"1"	"1"	"23"	"4"
"396"	"False"	""	"R-HSA-8864260"	"IntermediateAnnotation"	"Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors"	"ReactomePathway"	"1"	"1"	"1"	"100"
"397"	"False"	""	"WP1403"	"LeafAnnotation"	"AMP-activated protein kinase signaling"	"WikiPathway"	"1"	"1"	"30"	"3"
"398"	"False"	""	"WP1584"	"LeafAnnotation"	"Type II diabetes mellitus"	"WikiPathway"	"1"	"1"	"14"	"7"
"399"	"False"	""	"WP2895"	"LeafAnnotation"	"Differentiation of white and brown adipocyte"	"WikiPathway"	"1"	"1"	"3"	"33"
"400"	"False"	""	"WP3599"	"LeafAnnotation"	"Transcription factor regulation in adipogenesis"	"WikiPathway"	"1"	"1"	"8"	"12"
"401"	"False"	""	"WP3934"	"LeafAnnotation"	"Leptin and adiponectin"	"WikiPathway"	"1"	"1"	"7"	"14"
"402"	"False"	""	"WP4396"	"LeafAnnotation"	"Nonalcoholic fatty liver disease"	"WikiPathway"	"1"	"1"	"50"	"2"
"403"	"False"	""	"WP4970"	"LeafAnnotation"	"Galanin receptor pathway"	"WikiPathway"	"1"	"1"	"8"	"12"
"404"	"False"	""	"WP5094"	"LeafAnnotation"	"Orexin receptor pathway"	"WikiPathway"	"1"	"1"	"73"	"1"
"405"	"False"	""	"WP5406"	"LeafAnnotation"	"13q12.12 copy number variation"	"WikiPathway"	"1"	"1"	"21"	"5"
"406"	"False"	""	"R-HSA-381340"	"LeafAnnotation"	"Transcriptional regulation of white adipocyte differentiation"	"ReactomePathway"	"1"	"1"	"10"	"10"
"407"	"False"	""	"R-HSA-9841922"	"IntermediateAnnotation"	"MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis"	"ReactomePathway"	"1"	"1"	"17"	"6"
"408"	"False"	""	"R-HSA-163680"	"LeafAnnotation"	"AMPK inhibits chREBP transcriptional activation activity"	"ReactomePathway"	"1"	"1"	"6"	"17"
"409"	"False"	""	"WP5242"	"LeafAnnotation"	"Comprehensive IL-17A signaling"	"WikiPathway"	"1"	"1"	"14"	"7"
"410"	"False"	""	"WP2118"	"LeafAnnotation"	"Arrhythmogenic right ventricular cardiomyopathy"	"WikiPathway"	"1"	"1"	"63"	"2"
"411"	"False"	""	"R-HSA-445144"	"LeafAnnotation"	"Signal transduction by L1"	"ReactomePathway"	"1"	"1"	"18"	"6"
"412"	"False"	""	"WP3937"	"LeafAnnotation"	"Microglia pathogen phagocytosis pathway"	"WikiPathway"	"1"	"1"	"35"	"3"
"413"	"False"	""	"R-HSA-182971"	"LeafAnnotation"	"EGFR downregulation"	"ReactomePathway"	"1"	"1"	"22"	"5"
"414"	"False"	""	"R-HSA-5675221"	"IntermediateAnnotation"	"Negative regulation of MAPK pathway"	"ReactomePathway"	"1"	"1"	"18"	"6"
"415"	"False"	""	"WP5348"	"LeafAnnotation"	"11p11.2 copy number variation syndrome"	"WikiPathway"	"1"	"1"	"28"	"4"
